,138
土木營建領域專長 男性 專任 人數,90
土木營建領域專長 女性 專任 人數,40
服務年資1~5年,10
服務年資6~10年,15
服務年資11~15年,20
服務年資16~20年,15
服務年資21~25年,10
服務年資25年以上,10
管理職年資1~5年,5
管理職年資6~10年,5
管理職年資11~15年,10
管理職年資16~20年,10
管理職年資21~25年,15
管理職年資25年以上,5
