環工綠能,女性占比,女性占比,女性占比,女性占比,女性占比,女性占比,總人數,總人數,總人數,總人數,總人數,總人數
管理職服務年資,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上
單位總員工人數,,,,,,,,,,,,
50~250人,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0
250人以上,8.0%,0.0%,21.7%,35.7%,4.3%,2.4%,50,14,23,14,23,42
