,14
土木營建領域專長 男性 專任 人數,603
土木營建領域專長 女性 專任 人數,122
服務年資1~5年,180
服務年資6~10年,94
服務年資11~15年,110
服務年資16~20年,29
服務年資21~25年,83
服務年資25年以上,107
管理職年資1~5年,1
管理職年資6~10年,0
管理職年資11~15年,0
管理職年資16~20年,0
管理職年資21~25年,4
管理職年資25年以上,29
