,10
土木營建領域專長 男性 專任 人數,888
土木營建領域專長 女性 專任 人數,79
服務年資1~5年,243
服務年資6~10年,88
服務年資11~15年,143
服務年資16~20年,72
服務年資21~25年,54
服務年資25年以上,288
管理職年資1~5年,0
管理職年資6~10年,2
管理職年資11~15年,39
管理職年資16~20年,48
管理職年資21~25年,44
管理職年資25年以上,107
