,97
土木營建領域專長 男性 專任 人數,6
土木營建領域專長 女性 專任 人數,1
服務年資1~5年,2
服務年資6~10年,1
服務年資11~15年,1
服務年資16~20年,0
服務年資21~25年,0
服務年資25年以上,2
管理職年資1~5年,0
管理職年資6~10年,0
管理職年資11~15年,1
管理職年資16~20年,0
管理職年資21~25年,0
管理職年資25年以上,0
