土木營建,女性占比,女性占比,女性占比,女性占比,女性占比,女性占比,總人數,總人數,總人數,總人數,總人數,總人數
服務年資,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上
單位總員工人數,,,,,,,,,,,,
50人以下,25.8%,9.9%,9.2%,17.3%,12.5%,14.1%,275,172,141,150,336,269
50~250人,28.8%,23.3%,10.7%,20.9%,11.5%,13.8%,191,232,215,129,234,181
250人以上,19.4%,17.8%,11.4%,10.5%,8.3%,4.7%,1140,534,738,579,458,1596
