,89
土木營建領域專長 男性 專任 人數,101
土木營建領域專長 女性 專任 人數,6
服務年資1~5年,50
服務年資6~10年,18
服務年資11~15年,11
服務年資16~20年,17
服務年資21~25年,1
服務年資25年以上,20
管理職年資1~5年,75
管理職年資6~10年,42
管理職年資11~15年,16
管理職年資16~20年,1
管理職年資21~25年,3
管理職年資25年以上,7
