電子電機,女性占比,女性占比,女性占比,女性占比,女性占比,女性占比,總人數,總人數,總人數,總人數,總人數,總人數
服務年資,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上
單位總員工人數,,,,,,,,,,,,
50人以下,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,9,4,1,4,5,6
50~250人,7.4%,0.0%,7.4%,0.0%,0.0%,11.1%,27,18,27,12,21,36
250人以上,5.5%,5.0%,4.2%,4.0%,3.3%,3.6%,5779,1369,2153,1028,1039,7452
