,6
土木營建領域專長 男性 專任 人數,610
土木營建領域專長 女性 專任 人數,64
服務年資1~5年,26
服務年資6~10年,18
服務年資11~15年,220
服務年資16~20年,188
服務年資21~25年,102
服務年資25年以上,56
管理職年資1~5年,178
管理職年資6~10年,24
管理職年資11~15年,8
管理職年資16~20年,0
管理職年資21~25年,0
管理職年資25年以上,0
