土木營建,女性占比,女性占比,女性占比,女性占比,女性占比,女性占比,總人數,總人數,總人數,總人數,總人數,總人數
管理職服務年資,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上
單位總員工人數,,,,,,,,,,,,
50人以下,10.9%,8.6%,16.2%,5.4%,22.2%,14.8%,64,58,37,37,36,54
50~250人,27.0%,42.9%,25.0%,29.5%,8.9%,13.3%,37,56,80,78,56,60
250人以上,7.8%,6.8%,6.5%,8.3%,4.9%,1.5%,243,88,124,121,102,275
