,86
土木營建領域專長 男性 專任 人數,306
土木營建領域專長 女性 專任 人數,56
服務年資1~5年,70
服務年資6~10年,5
服務年資11~15年,6
服務年資16~20年,7
服務年資21~25年,12
服務年資25年以上,206
管理職年資1~5年,0
管理職年資6~10年,1
管理職年資11~15年,0
管理職年資16~20年,2
管理職年資21~25年,6
管理職年資25年以上,60
