化工材料,女性占比,女性占比,女性占比,女性占比,女性占比,女性占比,總人數,總人數,總人數,總人數,總人數,總人數
服務年資,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上
單位總員工人數,,,,,,,,,,,,
50人以下,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,2,1,1,0,0,4
50~250人,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2,0,0,0,0,0
250人以上,17.5%,16.6%,16.8%,19.7%,19.5%,12.6%,727,453,428,203,231,532
