環工綠能,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數
階層,初階管理職,初階管理職,初階管理職,初階管理職,初階管理職,中階管理職,中階管理職,中階管理職,中階管理職,中階管理職,高階管理職,高階管理職,高階管理職,高階管理職,高階管理職,初階管理職,初階管理職,初階管理職,初階管理職,初階管理職,中階管理職,中階管理職,中階管理職,中階管理職,中階管理職,高階管理職,高階管理職,高階管理職,高階管理職,高階管理職
年齡,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上
單位總員工人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50~250人,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250人以上,0.0%,4.8%,4.1%,20.0%,0.0%,0.0%,0.0%,5.0%,13.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2,21,49,25,0,0,5,20,30,0,0,0,2,9,0
