化工材料,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,女性佔比,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數,總人數
階層,初階管理職,初階管理職,初階管理職,初階管理職,初階管理職,中階管理職,中階管理職,中階管理職,中階管理職,中階管理職,高階管理職,高階管理職,高階管理職,高階管理職,高階管理職,初階管理職,初階管理職,初階管理職,初階管理職,初階管理職,中階管理職,中階管理職,中階管理職,中階管理職,中階管理職,高階管理職,高階管理職,高階管理職,高階管理職,高階管理職
年齡,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上,35歲以下,36-45歲,46-55歲,56-65歲,66歲以上
單位總員工人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50人以下,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
50~250人,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250人以上,2.7%,3.3%,18.0%,12.5%,100.0%,0.0%,0.0%,5.4%,11.4%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,73,91,61,56,1,0,8,37,35,1,0,1,4,7,0
