機械,女性占比,女性占比,女性占比,女性占比,女性占比,女性占比,總人數,總人數,總人數,總人數,總人數,總人數
服務年資,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上
單位總員工人數,,,,,,,,,,,,
50人以下,14.3%,8.3%,0.0%,0.0%,0.0%,0.0%,7,12,5,1,2,13
50~250人,0.0%,0.0%,6.5%,5.9%,9.1%,3.8%,18,31,31,17,22,52
250人以上,3.7%,2.9%,1.5%,5.6%,3.1%,0.4%,2370,936,908,178,419,1994
