資訊通訊,女性占比,女性占比,女性占比,女性占比,女性占比,女性占比,總人數,總人數,總人數,總人數,總人數,總人數
服務年資,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上,1~5年,6~10年,11~15年,16~20年,21~25年,25年以上
單位總員工人數,,,,,,,,,,,,
50人以下,30.0%,0.0%,0.0%,0.0%,0.0%,0.0%,10,0,0,0,0,0
50~250人,20.6%,47.6%,50.0%,25.0%,0.0%,0.0%,34,21,20,12,2,5
250人以上,17.2%,21.9%,19.5%,18.7%,13.8%,14.3%,2658,1405,1438,1042,704,5313
