,11
土木營建領域專長 男性 專任 人數,43
土木營建領域專長 女性 專任 人數,10
服務年資1~5年,25
服務年資6~10年,4
服務年資11~15年,8
服務年資16~20年,3
服務年資21~25年,2
服務年資25年以上,1
管理職年資1~5年,3
管理職年資6~10年,1
管理職年資11~15年,4
管理職年資16~20年,3
管理職年資21~25年,0
管理職年資25年以上,0
