,2.單位總員工人數,106年男性請假人次,107年男性請假人次,108年男性請假人次,106年女性請假人次,108年女性請假人次
count,92,92,92,92,92,92
平均數,30,0,0,0,0,0
標準差,37,0,0,0,1,0
最小值,2,0,0,0,0,0
25%,13,0,0,0,0,0
中位數,21,0,0,0,0,0
75%,33,0,0,0,0,0
最大值,297,1,2,1,11,5
sum,2837,5,16,4,28,28
