3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,男性,
18.	就您的認知，不同性別在工程與科技領域的求職難易度有否差異？,,,,,,,,,,
否，沒有差異,1,5,5,7,0,0,18,15,1,52
有，女性較男性困難,25,7,37,31,4,3,104,52,0,263
有，女性較男性容易,2,2,1,3,0,1,4,12,0,25
沒有接觸經驗，無法回答,1,1,4,3,1,1,8,4,0,23
All,29,15,47,44,5,5,134,83,1,363
