3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,
較容易情緒起伏,,,,,,,,,,,
女性較有此特質,18,16,30,28,2,5,88,85,1,1,274
無差異,15,7,27,27,2,1,71,45,0,1,196
男性較有此特質,1,0,5,9,1,5,11,11,0,0,43
All,34,23,62,64,5,11,170,141,1,2,513
