3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,男性,
選擇無須出差的職務,,,,,,,,,,
女性較有此傾向,24,13,37,31,2,4,82,58,1,252
無差異,5,1,9,11,3,1,50,22,0,102
男性較有此傾向,0,1,1,1,0,0,2,0,0,5
All,29,15,47,43,5,5,134,80,1,359
