3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,男性,
20.	對您的經驗，不同性別的工程與科技領域主管是否有領導風格的差異（指非因個人而是因為性別所致之差異）？,,,,,,,,,,
只與單一性別主管共事過，無法比較差異,4,3,8,10,0,0,25,23,1,74
否，沒有差異,3,1,12,6,1,0,19,11,0,53
是，有差異,22,11,27,28,4,5,90,49,0,236
All,29,15,47,44,5,5,134,83,1,363
