3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,男性,
選擇可兼顧家庭的職務,,,,,,,,,,
女性較有此傾向,27,12,40,33,5,5,110,65,1,298
無差異,2,2,7,10,0,0,19,17,0,57
男性較有此傾向,0,0,0,0,0,0,1,1,0,2
All,29,14,47,43,5,5,130,83,1,357
