3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,
較用功或成績較好,,,,,,,,,,,
女性較有此特質,20,12,26,25,3,5,102,60,1,1,255
無差異,13,7,28,27,1,4,62,60,0,0,202
男性較有此特質,0,3,8,12,1,2,7,21,0,1,55
All,33,22,62,64,5,11,171,141,1,2,512
