3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,高職
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性
較受人際問題干擾,,,,,,,,,,
女性較有此特質,22,19,30,30,1,4,87,78,0,2
無差異,11,3,30,23,4,4,69,54,1,0
男性較有此特質,0,1,2,10,0,3,14,9,0,0
