3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,男性,
選擇無須應酬的職務,,,,,,,,,,
女性較有此傾向,24,10,41,33,4,4,88,63,1,268
無差異,3,5,6,10,0,1,43,19,0,87
男性較有此傾向,0,0,0,0,1,0,2,1,0,4
All,27,15,47,43,5,5,133,83,1,359
