3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,高職
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性
動手實驗或實習的機會較少,,,,,,,,,,
女性較有此特質,14,8,25,28,1,1,62,61,1,1
無差異,17,8,25,17,4,3,92,57,0,0
男性較有此特質,2,7,12,18,0,7,17,22,0,1
