3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,高職
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性
較不敢接受挑戰,,,,,,,,,,
女性較有此特質,15,16,16,20,3,5,54,55,0,2
無差異,18,7,38,40,2,3,101,78,1,0
男性較有此特質,0,0,8,4,0,3,14,8,0,0
