(a) 工程與科技領域職務(年),0~5年,0~5年,11~15年,11~15年,16~20年,16~20年,21~25年,21~25年,21~25年,26~30年,26~30年,30年以上,30年以上,6~10年,6~10年
1. 性別：,女性,男性,女性,男性,女性,男性,其他,女性,男性,女性,男性,女性,男性,女性,男性
4.	最高學歷畢業校系,,,,,,,,,,,,,,,
國內學校，工程與科技相關領域,98,108,55,75,52,87,0,28,74,40,75,23,102,96,95
國內學校，非工程與科技相關領域,36,10,3,4,2,3,0,3,2,2,4,3,7,5,2
國外學校，工程與科技相關領域,2,2,6,3,5,1,1,8,14,10,14,6,16,5,0
國外學校，非工程與科技相關領域,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1
