3. 最高學歷,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,All
1. 性別：,女性,男性,女性,男性,女性,男性,女性,男性,男性,
選擇內勤為主的職務,,,,,,,,,,
女性較有此傾向,26,13,45,42,5,5,110,71,1,318
無差異,3,2,2,1,0,0,22,12,0,42
男性較有此傾向,0,0,0,1,0,0,1,0,0,2
All,29,15,47,44,5,5,133,83,1,362
