,96
土木營建領域專長 男性 專任 人數,140
土木營建領域專長 女性 專任 人數,10
服務年資1~5年,15
服務年資6~10年,30
服務年資11~15年,40
服務年資16~20年,20
服務年資21~25年,10
服務年資25年以上,0
管理職年資1~5年,0
管理職年資6~10年,5
管理職年資11~15年,15
管理職年資16~20年,7
管理職年資21~25年,3
管理職年資25年以上,0
